WS	ZERO	N	NNE	NE	ENE	E	ESE	SE	SSE	S	SSW	SW	WSW	W	WNW	NW	NNW	SUM	Station
A	0.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7	서울
B	0.0	2.0	5.0	17.7	11.2	2.3	0.9	0.1	0.7	1.2	2.6	1.8	5.5	13.9	9.0	3.5	2.0	79.4	서울
C	0.0	0.1	0.0	2.2	2.2	0.0	0.0	0.0	0.0	0.1	0.5	0.7	1.9	5.4	5.9	0.8	0.1	19.9	서울
D	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	서울
A	1.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.7	인천
B	0.0	4.7	7.0	3.8	1.9	3.4	3.6	4.8	4.8	3.6	1.9	1.9	1.5	0.8	2.0	3.8	6.7	56.2	인천
C	0.0	6.7	7.5	0.5	0.7	2.2	0.3	0.0	1.6	4.8	0.7	0.9	0.1	0.1	0.3	3.4	8.7	38.6	인천
D	0.0	0.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3	2.4	3.5	인천
A	21.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.0	동두천
B	0.0	6.9	10.3	2.7	1.1	0.9	2.4	2.0	2.0	3.5	1.7	4.2	6.9	5.5	6.9	6.5	6.7	70.2	동두천
C	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4	0.4	0.1	0.5	0.5	0.9	3.8	1.5	0.3	8.5	동두천
D	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4	0.0	0.0	0.4	동두천
A	8.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.5	수원
B	0.0	1.1	0.7	1.3	3.1	6.7	7.1	6.6	5.6	3.2	1.5	3.1	4.4	7.1	8.2	13.0	2.6	75.4	수원
C	0.0	0.0	0.0	0.0	0.1	1.1	0.4	0.0	0.0	0.1	0.0	0.0	0.9	2.4	4.0	5.9	0.5	15.6	수원
D	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.4	0.0	0.0	0.5	수원
A	38.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	38.2	원주
B	0.0	1.3	7.0	5.5	1.7	4.3	1.1	0.7	1.1	1.1	4.4	7.3	4.8	9.7	6.9	1.2	1.6	59.7	원주
C	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7	1.3	0.1	0.0	2.2	원주
