WS	ZERO	N	NNE	NE	ENE	E	ESE	SE	SSE	S	SSW	SW	WSW	W	WNW	NW	NNW	SUM	Station
A	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	서울
B	0.0	1.1	4.0	12.0	6.9	1.9	2.2	1.3	2.0	2.8	4.7	5.1	11.8	13.8	5.4	2.0	1.7	78.8	서울
C	0.0	0.1	0.3	3.8	1.7	0.0	0.0	0.0	0.1	0.3	1.7	2.4	3.5	3.9	1.1	0.3	0.0	19.2	서울
D	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	서울
A	2.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.7	인천
B	0.0	3.9	4.3	1.3	0.4	0.9	0.5	2.8	3.2	3.2	4.7	11.4	8.5	5.1	2.3	4.2	6.7	63.6	인천
C	0.0	0.8	4.2	2.0	0.7	2.2	0.3	1.3	1.1	2.6	1.3	3.6	2.4	3.4	1.2	2.4	3.9	33.3	인천
D	0.0	0.0	0.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.4	인천
A	16.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.8	동두천
B	0.0	8.1	12.5	4.4	1.2	1.3	1.6	1.3	2.6	4.4	4.4	6.6	6.0	6.7	4.3	3.9	4.2	73.7	동두천
C	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.1	0.0	0.1	1.9	1.7	2.2	2.6	0.8	0.0	9.5	동두천
D	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	동두천
A	12.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.5	수원
B	0.0	0.7	1.3	1.6	0.9	3.1	5.1	7.4	4.6	2.4	2.2	5.2	10.1	12.4	5.8	5.4	3.4	71.5	수원
C	0.0	0.1	0.0	0.0	0.3	2.0	0.9	0.3	0.1	0.0	0.0	0.5	2.0	4.8	4.0	0.7	0.1	16.0	수원
D	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	수원
A	24.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.7	원주
B	0.0	2.2	6.9	6.7	0.9	3.1	3.8	3.6	2.6	1.7	3.1	9.3	6.7	8.9	5.5	3.4	2.6	70.8	원주
C	0.0	0.0	1.3	0.0	0.0	0.0	0.0	0.1	0.4	0.3	0.0	0.1	0.3	1.3	0.5	0.0	0.0	4.4	원주
D	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	원주
A	4.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.2	강릉
B	0.0	1.3	1.5	4.7	6.9	4.4	2.6	0.9	1.1	2.4	6.0	20.2	8.9	2.8	3.4	7.5	2.2	76.7	강릉
C	0.0	0.0	0.0	0.0	0.0	0.9	0.4	0.1	0.0	0.4	0.8	7.8	4.4	1.5	0.8	1.9	0.0	19.1	강릉
D	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	강릉
A	12.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.1	대전
B	0.0	10.3	13.7	9.1	3.8	2.8	1.9	2.7	5.0	5.0	2.6	2.8	6.0	4.3	2.6	2.8	4.8	80.2	대전
C	0.0	0.7	0.7	0.1	0.0	0.0	0.0	0.3	2.0	3.1	0.0	0.0	0.8	0.0	0.0	0.0	0.0	7.7	대전
D	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	대전
A	16.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.5	세종
