WS	ZERO	N	NNE	NE	ENE	E	ESE	SE	SSE	S	SSW	SW	WSW	W	WNW	NW	NNW	SUM	Station
A	3.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.6	서울
B	0.0	1.9	4.4	6.5	4.7	2.3	1.3	0.8	1.2	1.6	3.1	4.6	5.5	13.4	11.7	5.9	2.3	71.2	서울
C	0.0	0.3	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.1	1.1	1.7	3.4	6.5	6.2	4.7	1.1	25.1	서울
D	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	서울
A	1.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3	인천
B	0.0	3.9	5.0	0.5	0.7	0.7	1.2	1.5	2.2	3.0	2.7	5.4	7.3	5.5	2.4	3.4	5.4	50.5	인천
C	0.0	6.3	3.9	0.3	0.0	0.0	0.0	0.1	0.5	2.6	2.8	3.4	2.8	4.3	3.2	4.2	10.5	44.9	인천
D	0.0	0.3	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9	0.1	1.7	3.2	인천
A	10.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.5	동두천
B	0.0	6.6	7.0	3.1	1.6	0.7	1.5	2.0	3.4	3.5	5.6	7.8	6.6	5.9	5.4	5.4	8.2	74.2	동두천
C	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4	0.3	0.8	2.6	2.3	1.9	3.8	2.4	0.5	14.9	동두천
D	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.1	0.0	0.1	0.0	0.0	0.4	동두천
A	9.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.4	수원
B	0.0	0.5	0.1	0.4	0.3	2.0	4.8	6.6	4.4	2.2	2.2	2.7	7.8	11.6	9.5	8.6	1.6	65.3	수원
C	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.4	0.1	0.7	0.5	3.2	9.7	6.5	2.7	0.7	24.6	수원
D	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.1	0.4	0.0	0.0	0.7	수원
A	25.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.7	원주
B	0.0	1.3	4.3	5.0	1.2	2.2	2.6	0.5	0.5	0.8	3.9	9.5	17.5	8.3	6.9	3.8	1.6	69.9	원주
C	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4	0.3	2.6	0.7	0.4	0.1	0.0	4.4	원주
D	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	원주
A	1.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.9	강릉
