WS	ZERO	N	NNE	NE	ENE	E	ESE	SE	SSE	S	SSW	SW	WSW	W	WNW	NW	NNW	SUM	Station
A	2.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.4	서울
B	0.0	2.2	3.0	10.6	7.8	3.2	0.7	1.1	0.3	1.1	2.0	2.6	4.0	10.9	16.1	8.9	4.2	78.7	서울
C	0.0	0.0	0.0	0.0	4.0	0.4	0.0	0.0	0.0	0.0	0.1	0.3	0.7	4.6	3.7	4.5	0.4	18.8	서울
D	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	서울
A	1.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4	인천
B	0.0	6.5	8.0	2.2	1.4	1.3	2.0	3.9	3.6	2.9	1.7	4.0	4.9	3.7	2.7	5.3	6.3	60.5	인천
C	0.0	5.5	3.7	1.0	1.6	1.9	0.3	0.0	0.3	0.7	0.4	1.6	1.0	1.7	2.7	3.9	11.4	37.6	인천
D	0.0	0.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.4	인천
A	15.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.7	동두천
B	0.0	9.3	10.5	4.9	1.4	1.1	2.0	0.7	2.4	1.3	4.2	6.0	5.7	7.8	6.6	6.0	6.3	76.4	동두천
C	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7	2.0	1.7	1.9	1.4	0.1	7.9	동두천
D	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	동두천
A	11.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.9	수원
B	0.0	0.9	0.6	1.9	2.4	4.7	5.2	4.7	3.9	1.9	2.0	3.2	7.5	10.2	10.1	10.5	2.4	72.0	수원
C	0.0	0.0	0.0	0.0	0.0	0.3	0.1	0.0	0.0	0.0	0.0	0.3	1.3	5.3	6.2	2.4	0.0	15.9	수원
D	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.1	수원
A	33.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33.0	원주
B	0.0	2.4	7.2	4.7	1.1	2.2	1.7	0.6	1.1	1.3	2.4	9.8	12.6	5.6	8.6	2.6	1.0	65.1	원주
