WS	ZERO	N	NNE	NE	ENE	E	ESE	SE	SSE	S	SSW	SW	WSW	W	WNW	NW	NNW	SUM	Station
C	0.0	0.1	0.0	0.0	0.0	0.3	0.1	0.0	0.0	0.4	1.9	16.1	7.9	1.1	0.4	1.3	0.1	29.6	강릉
D	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.1	강릉
A	13.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.7	대전
B	0.0	11.8	16.3	8.6	3.3	1.7	1.4	2.2	3.5	3.6	1.6	2.1	4.8	4.6	3.4	4.1	5.9	79.0	대전
C	0.0	0.8	2.7	0.3	0.0	0.0	0.0	0.2	1.5	1.1	0.0	0.0	0.5	0.0	0.0	0.0	0.2	7.3	대전
D	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	대전
A	19.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.8	세종
B	0.0	4.3	2.5	2.7	6.9	5.6	2.0	1.7	3.9	3.7	2.1	1.9	1.4	3.1	9.8	13.8	7.6	72.8	세종
C	0.0	0.1	0.0	0.0	0.7	0.4	0.0	0.0	0.0	0.3	0.2	0.0	0.0	0.0	0.4	2.7	2.6	7.4	세종
D	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	세종
A	16.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.5	청주
B	0.0	1.4	3.4	3.5	1.3	1.3	1.2	2.3	4.8	5.1	2.5	2.7	7.6	18.4	19.5	2.6	1.3	79.1	청주
C	0.0	0.0	0.1	0.0	0.0	0.6	0.1	0.0	0.0	0.0	0.0	0.0	0.2	1.0	2.3	0.0	0.0	4.3	청주
D	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	청주
A	17.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.7	서산
B	0.0	5.9	8.3	10.0	5.8	1.8	1.4	1.3	0.7	3.2	4.5	3.5	2.2	2.2	2.1	3.7	4.8	61.3	서산
C	0.0	1.1	0.1	0.4	1.1	0.3	0.0	0.1	0.1	1.1	2.6	1.3	0.6	0.3	1.5	5.6	4.1	20.4	서산
D	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3	0.2	0.0	0.6	서산
A	14.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.7	광주
B	0.0	4.0	15.7	18.5	4.6	1.0	0.3	0.4	0.9	2.2	3.8	7.2	8.1	3.7	4.0	2.8	2.7	80.1	광주
C	0.0	0.0	0.7	2.0	0.2	0.0	0.0	0.0	0.0	0.6	0.3	0.7	0.5	0.0	0.1	0.1	0.0	5.2	광주
D	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	광주
A	10.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.4	전주
B	0.0	3.9	2.1	2.2	1.5	2.0	8.8	14.3	3.2	1.7	1.3	4.6	4.6	5.4	4.9	9.3	8.8	78.8	전주
C	0.0	0.8	0.0	0.0	0.1	0.0	0.0	0.1	0.1	0.0	0.1	1.4	1.0	2.2	1.9	1.2	1.8	10.8	전주
D	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	전주
A	23.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.0	순천
B	0.0	0.3	0.3	0.8	1.2	2.7	2.6	2.2	2.9	2.2	1.2	1.2	4.3	9.2	10.5	3.6	0.9	46.2	순천
C	0.0	0.0	0.0	0.0	0.0	0.2	0.4	0.2	0.2	0.6	0.1	0.0	1.9	4.9	16.1	5.9	0.1	30.6	순천
D	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.1	0.0	0.2	순천
A	2.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.9	부산
B	0.0	1.6	2.6	8.4	3.0	2.1	2.6	2.1	1.2	2.0	1.3	2.5	3.9	6.1	6.5	6.7	2.6	55.1	부산
C	0.0	0.1	0.2	7.4	2.4	0.4	0.4	0.2	0.3	0.7	2.3	3.1	7.1	7.3	3.3	4.8	0.7	40.6	부산
D	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.7	0.3	0.0	0.0	0.0	1.3	부산
A	9.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.3	대구
B	0.0	2.3	1.4	1.5	1.8	2.4	6.5	7.0	1.9	0.9	0.5	1.0	1.8	6.1	9.5	8.4	6.4	59.6	대구
C	0.0	0.0	0.0	0.0	0.0	1.1	3.4	0.7	0.0	0.0	0.0	0.0	0.1	2.0	14.4	7.6	1.1	30.4	대구
D	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.2	0.0	0.7	대구
A	3.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.7	울산
B	0.0	8.7	5.2	1.9	1.3	1.5	1.9	1.9	2.3	1.1	2.9	2.6	1.5	2.9	5.6	14.2	17.5	72.9	울산
C	0.0	0.8	0.9	0.3	1.0	0.8	0.1	0.1	0.2	0.8	2.0	0.8	0.5	0.6	4.3	6.3	4.0	23.4	울산
D	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	울산
A	2.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.3	경주시
B	0.0	2.4	1.5	1.7	1.3	0.9	1.4	2.4	5.5	12.1	7.6	3.2	2.5	2.7	3.1	4.2	3.1	55.8	경주시
C	0.0	1.4	1.7	1.3	1.0	0.0	0.1	0.4	0.2	1.3	0.9	1.3	1.3	2.0	10.3	13.6	3.1	39.8	경주시
D	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	1.2	0.8	0.0	2.1	경주시
A	12.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.8	창원
B	0.0	8.1	8.2	10.5	3.0	2.0	1.9	2.2	2.9	4.5	3.8	3.7	5.2	7.3	5.3	4.5	6.1	79.1	창원
C	0.0	0.1	0.7	4.3	0.5	0.0	0.1	0.5	0.5	0.4	0.1	0.1	0.0	0.2	0.4	0.1	0.1	8.1	창원
D	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	창원
A	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6	제주
B	0.0	4.5	3.5	1.8	2.6	2.3	1.7	1.5	6.9	8.8	3.7	2.0	2.1	2.3	2.7	3.1	2.4	51.9	제주
C	0.0	6.2	3.5	2.7	4.9	1.0	0.4	0.0	0.1	0.1	0.8	2.2	2.8	2.6	4.1	8.7	4.0	44.2	제주
D	0.0	0.2	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.1	0.0	0.3	2.2	0.2	3.3	제주
