WS	ZERO	N	NNE	NE	ENE	E	ESE	SE	SSE	S	SSW	SW	WSW	W	WNW	NW	NNW	SUM	Station
A	1.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.5	서울
B	0.0	1.5	5.5	13.1	6.7	1.9	1.1	0.6	0.9	1.7	3.7	3.9	8.6	14.7	8.5	3.9	1.9	78.5	서울
C	0.0	0.1	0.1	1.9	1.1	0.1	0.0	0.0	0.0	0.2	1.2	1.2	2.1	6.1	5.0	0.7	0.1	20.1	서울
D	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	서울
A	1.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.9	인천
B	0.0	4.6	6.3	2.3	0.9	1.5	1.4	2.9	4.8	4.4	4.0	5.7	3.9	2.6	1.9	3.5	6.6	57.3	인천
C	0.0	5.9	6.0	0.9	0.3	1.3	0.2	0.5	1.1	3.5	1.5	2.1	0.8	1.2	0.6	3.0	9.7	38.7	인천
D	0.0	0.3	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	1.3	2.0	인천
A	19.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.5	동두천
B	0.0	6.9	9.8	2.8	1.2	1.1	2.2	1.8	2.7	3.7	3.7	4.8	5.8	5.6	5.9	6.5	5.5	69.9	동두천
C	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.2	0.2	0.4	1.1	1.0	1.2	3.7	2.2	0.2	10.4	동두천
D	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.1	동두천
A	10.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.8	수원
B	0.0	0.8	0.7	1.0	1.7	3.6	6.3	6.9	4.5	2.6	1.5	3.3	7.3	9.0	8.4	10.3	3.1	70.9	수원
C	0.0	0.0	0.0	0.0	0.1	1.0	0.5	0.1	0.0	0.0	0.0	0.5	1.1	3.4	5.4	5.1	0.7	18.1	수원
D	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.1	수원
A	34.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34.7	원주
B	0.0	1.6	5.5	5.1	1.3	3.1	2.3	1.6	1.4	1.6	3.4	7.2	6.5	10.9	6.8	2.4	2.1	62.7	원주
C	0.0	0.0	0.4	0.0	0.0	0.0	0.0	0.0	0.1	0.1	0.0	0.0	0.2	1.1	0.8	0.0	0.0	2.7	원주
D	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	원주
A	1.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.8	강릉
B	0.0	0.8	1.0	2.8	3.5	2.3	1.5	1.2	0.9	2.0	5.8	22.5	11.5	3.8	2.8	4.3	1.8	68.5	강릉
